27 09:46:39 | ST0=[1110.72kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:46:40 | ST0=[1110.72kg, 1110.83kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:41 | ST0=[1110.73kg, 1110.84kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:42 | ST0=[1110.73kg, 1110.84kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:43 | ST0=[1110.73kg, 1110.84kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:44 | ST0=[1110.73kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:46:45 | ST0=[1110.74kg, 1110.85kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:46 | ST0=[1110.74kg, 1110.85kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:47 | ST0=[1110.74kg, 1110.85kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:48 | ST0=[1110.74kg, 1110.86kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:46:49 | ST0=[1110.75kg, 1110.86kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:50 | ST0=[1110.75kg, 1110.87kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:51 | ST0=[1110.75kg, 1110.87kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:52 | ST0=[1110.75kg, 1110.87kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:53 | ST0=[1110.75kg, 1110.86kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:46:54 | ST0=[1110.76kg, 1110.88kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:55 | ST0=[1110.76kg, 1110.87kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:56 | ST0=[1110.76kg, 1110.87kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:46:57 | ST0=[1110.76kg, 1110.87kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:46:58 | ST0=[1110.76kg, 1110.88kg] (200) WE: 4080[RS232-PRINTER]

